Sex,Treatment,Cage1:ID,Weight (g) 02/08,02/09,02/10,02/11,02/12,02/13,02/14,02/15,02/16,02/17,02/18,02/19,02/20,02/21,02/22,02/23,02/24,2/25/2019 (construction noises),02/26,02/27,02/28,Cage,Animal Absent Trial,Animal Present Trial,
0,1,1L,24,28,32,35,37,40,42,45,50,54,60,64,69,75,80,86,95,100,110,116,123,3,19,20,
0,0,2L,25,29,31,34,37,39,41,44,49,53,58,61,68,74,81,87,96,101,107,115,120,2,7,8,
0,1,3L,26,29,32,34,37,41,43,46,51,56,60,65,70,76,83,89,95,102,108,113,122,2,9,10,
0,0,1R,29,32,35,39,41,43,46,49,53,57,64,67,71,77,81,88,94,101,106,114,118,1,1,2,
0,1,2R,28,32,36,38,42,44,47,51,56,60,66,71,76,81,87,93,99,104,111,118,123,1,3,4,
0,0,3R,25,29,31,35,38,41,44,48,48,58,63,66,72,77,85,91,98,105,111,117,121,1,5,6,
0,1,"1L, 1R",24,27,30,33,36,39,41,45,48,51,56,60,63,69,75,80,86,91,98,105,110,3,15,16,
0,0,"1L, 2R",25,27,30,33,35,39,41,45,49,53,58,61,66,72,79,81,90,94,101,106,113,2,11,12,
0,1,"2L, 1R",27,30,34,39,40,43,45,47,52,56,61,65,68,75,79,84,88,95,100,105,111,2,13,14,
0,0,"2L, 2R",23,25,28,30,34,36,37,40,43,48,52,56,62,66,73,79,86,94,101,107,113,3,17,18,
1,1,1L,25,27,30,33,36,38,40,43,48,53,58,64,70,76,83,91,100,106,116,126,135,2,27,28,
1,0,2L,27,30,32,35,39,39,41,44,48,53,60,66,70,78,85,92,101,109,118,127,138,1,21,22,
1,1,3L,29,31,34,38,39,42,46,51,57,62,66,73,78,84,90,97,103,109,117,123,133,1,23,24,
1,0,1R,27,30,33,37,39,42,46,48,52,56,62,67,69,75,80,86,93,98,107,115,122,2,25,26,
1,1,2R,25,28,29,32,34,37,40,43,46,51,58,62,66,69,77,83,88,93,101,109,117,3,29,30,
1,0,3R,28,30,32,36,38,*41,42,46,53,57,63,70,76,82,89,96,104,114,121,130,141 *etho,4,35,36,
1,1,"1L, 1R",30,32,34,36,39,42,45,50,53,59,64,70,75,81,91,98,106,114,123,132,142,3,31,32,
1,0,"1L, 2R",28,31,34,37,40,41,44,47,53,56,63,69,74,81,88,95,102,111,118,126,134,4,37,38,
1,1,"2L, 1R",26,29,30,34,36,38,42,43,48,53,58,65,72,78,86,94,101,108,116,127,136,3,33,34,
1,0,"2L, 2R",28,32,33,35,39,41,44,47,51,52,62,67,75,79,86,92,102,106,116,125,135,2,NA,NA,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
